POSTE;NOM;ALT;DATE;RR_RRMOY;T_TMMOY
01089001;AMBERIEU;250;01;84,9;3,2
01089001;AMBERIEU;250;02;70,0;4,2
01089001;AMBERIEU;250;03;75,0;8,0
01089001;AMBERIEU;250;04;87,2;11,3
01089001;AMBERIEU;250;05;106,4;15,2
01089001;AMBERIEU;250;06;88,8;19,0
01089001;AMBERIEU;250;07;86,0;21,1
01089001;AMBERIEU;250;08;83,0;20,9
01089001;AMBERIEU;250;09;106,1;16,7
01089001;AMBERIEU;250;10;117,7;12,6
01089001;AMBERIEU;250;11;117,9;7,1
01089001;AMBERIEU;250;12;94,5;3,9
01089001;AMBERIEU;250;13;1117,5;11,9
02320001;ST QUENTIN;98;01;54,1;3,6
02320001;ST QUENTIN;98;02;48,0;4,2
02320001;ST QUENTIN;98;03;51,3;7,2
02320001;ST QUENTIN;98;04;43,2;10,0
02320001;ST QUENTIN;98;05;57,1;13,4
02320001;ST QUENTIN;98;06;59,8;16,2
02320001;ST QUENTIN;98;07;60,2;18,4
02320001;ST QUENTIN;98;08;70,8;18,4
02320001;ST QUENTIN;98;09;51,4;15,2
02320001;ST QUENTIN;98;10;60,3;11,4
02320001;ST QUENTIN;98;11;56,8;6,9
02320001;ST QUENTIN;98;12;70,4;4,1
02320001;ST QUENTIN;98;13;683,4;10,8
03060001;VICHY-CHARMEIL;249;01;48,1;4,0
03060001;VICHY-CHARMEIL;249;02;37,5;4,6
03060001;VICHY-CHARMEIL;249;03;43,5;7,8
03060001;VICHY-CHARMEIL;249;04;68,5;10,5
03060001;VICHY-CHARMEIL;249;05;88,4;14,4
03060001;VICHY-CHARMEIL;249;06;72,7;18,1
03060001;VICHY-CHARMEIL;249;07;75,7;20,2
03060001;VICHY-CHARMEIL;249;08;76,1;20,1
03060001;VICHY-CHARMEIL;249;09;68,3;16,2
03060001;VICHY-CHARMEIL;249;10;70,2;12,6
03060001;VICHY-CHARMEIL;249;11;70,1;7,5
03060001;VICHY-CHARMEIL;249;12;50,0;4,6
03060001;VICHY-CHARMEIL;249;13;769,1;11,7
04049001;ST AUBAN;458;01;48,2;4,9
04049001;ST AUBAN;458;02;35,9;5,8
04049001;ST AUBAN;458;03;44,7;9,2
04049001;ST AUBAN;458;04;64,8;12,0
04049001;ST AUBAN;458;05;63,9;16,0
04049001;ST AUBAN;458;06;53,5;20,2
04049001;ST AUBAN;458;07;35,7;23,1
04049001;ST AUBAN;458;08;50,7;22,8
04049001;ST AUBAN;458;09;73,7;18,4
04049001;ST AUBAN;458;10;88,0;14,0
04049001;ST AUBAN;458;11;96,2;8,7
04049001;ST AUBAN;458;12;58,9;5,2
04049001;ST AUBAN;458;13;714,2;13,4
05046001;EMBRUN;873;01;51,0;2,4
05046001;EMBRUN;873;02;42,9;3,4
05046001;EMBRUN;873;03;49,5;7,2
05046001;EMBRUN;873;04;57,0;10,2
05046001;EMBRUN;873;05;69,3;14,1
05046001;EMBRUN;873;06;61,1;18,0
05046001;EMBRUN;873;07;49,2;20,6
05046001;EMBRUN;873;08;52,1;20,5
05046001;EMBRUN;873;09;64,6;16,1
05046001;EMBRUN;873;10;81,8;11,8
05046001;EMBRUN;873;11;84,6;6,4
05046001;EMBRUN;873;12;69,5;2,9
05046001;EMBRUN;873;13;732,6;11,1
05183001;VILLAR ST PANCRACE;1310;01;;
05183001;VILLAR ST PANCRACE;1310;02;;
05183001;VILLAR ST PANCRACE;1310;03;;
05183001;VILLAR ST PANCRACE;1310;04;;
05183001;VILLAR ST PANCRACE;1310;05;;
05183001;VILLAR ST PANCRACE;1310;06;;
05183001;VILLAR ST PANCRACE;1310;07;;
05183001;VILLAR ST PANCRACE;1310;08;;
05183001;VILLAR ST PANCRACE;1310;09;;
05183001;VILLAR ST PANCRACE;1310;10;;
05183001;VILLAR ST PANCRACE;1310;11;;
05183001;VILLAR ST PANCRACE;1310;12;;
05183001;VILLAR ST PANCRACE;1310;13;;
06029001;CANNES;2;01;82,5;8,6
06029001;CANNES;2;02;57,0;8,8
06029001;CANNES;2;03;60,2;11,0
06029001;CANNES;2;04;78,2;13,5
06029001;CANNES;2;05;51,8;17,2
06029001;CANNES;2;06;32,5;20,9
06029001;CANNES;2;07;18,7;23,5
06029001;CANNES;2;08;23,9;23,7
06029001;CANNES;2;09;92,1;20,3
06029001;CANNES;2;10;134,3;16,7
06029001;CANNES;2;11;145,4;12,5
06029001;CANNES;2;12;104,6;9,4
06029001;CANNES;2;13;881,2;15,5
06088001;NICE;2;01;73,5;9,5
06088001;NICE;2;02;53,6;9,8
06088001;NICE;2;03;51,0;11,8
06088001;NICE;2;04;68,8;14,1
06088001;NICE;2;05;40,3;17,7
06088001;NICE;2;06;35,7;21,4
06088001;NICE;2;07;13,6;24,1
06088001;NICE;2;08;17,2;24,5
06088001;NICE;2;09;81,0;21,2
06088001;NICE;2;10;127,9;17,5
06088001;NICE;2;11;138,4;13,3
06088001;NICE;2;12;90,3;10,3
06088001;NICE;2;13;791,3;16,3
07131001;LANAS SYN;265;01;83,6;5,4
07131001;LANAS SYN;265;02;56,2;6,2
07131001;LANAS SYN;265;03;61,3;9,7
07131001;LANAS SYN;265;04;80,8;12,5
07131001;LANAS SYN;265;05;90,3;16,4
07131001;LANAS SYN;265;06;68,4;20,6
07131001;LANAS SYN;265;07;49,1;23,3
07131001;LANAS SYN;265;08;60,1;23,0
07131001;LANAS SYN;265;09;138,0;18,6
